,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,32,38,1.19,27,2,3,4,2,0,5,0.16,5,0,0,0,0,0,Matches,774cf58b
2,Che Adams,sct SCO,FW,Southampton,25,1996,22.7,51,2.25,34,0,1,4,11,1,4,0.18,3,0,0,0,0,1,Matches,f2bf1b0f
3,Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,20.3,44,2.17,26,10,4,0,2,2,6,0.3,4,1,0,0,1,0,Matches,9b398aea
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,28,1.26,20,4,1,1,1,1,6,0.27,3,1,1,0,1,0,Matches,a8c0acb7
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,3,0.29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,eaeca114
6,Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,19,1.51,14,3,0,0,2,0,2,0.16,2,0,0,0,0,0,Matches,b827d5b3
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17,61,3.58,52,0,1,5,0,3,6,0.35,6,0,0,0,0,0,Matches,77e84962
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,150,4.73,87,52,5,5,1,0,17,0.54,11,5,0,1,0,0,Matches,cd1acf9d
9,Alisson,br BRA,GK,Liverpool,28,1992,36,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,7a2e46a8
10,Allan,br BRA,MF,Everton,30,1991,24.3,32,1.32,31,0,0,0,1,0,6,0.25,5,0,0,0,1,0,Matches,cc700722
11,Dele Alli,eng ENG,MFFW,Tottenham,25,1996,7.3,8,1.1,5,0,0,0,3,0,1,0.14,0,0,0,0,1,0,Matches,cea4ee8f
12,Dele Alli,eng ENG,MF,Everton,25,1996,3.8,10,2.66,9,1,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches,cea4ee8f
13,Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,45,2.36,31,0,3,8,2,1,5,0.26,4,0,1,0,0,0,Matches,862a1c15
14,Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,89,3.7,61,15,4,5,2,2,9,0.37,7,1,0,1,0,0,Matches,f4290206
15,Steven Alzate,co COL,MF,Brighton,22,1998,4.5,7,1.56,7,0,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches,ad1f61f3
16,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,17,0.72,16,0,0,0,0,1,1,0.04,1,0,0,0,0,0,Matches,1a4ef233
17,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,33,1.02,29,1,0,1,0,2,5,0.15,4,0,0,1,0,0,Matches,e34fc66d
18,Michail Antonio,jm JAM,FW,West Ham,31,1990,33,102,3.09,65,0,13,10,8,6,17,0.51,9,0,1,4,2,1,Matches,ac05f970
19,Cameron Archer,eng ENG,MFFW,Aston Villa,19,2001,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,05e8ca6d
20,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2f965a72
21,Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,29,1.85,17,0,4,4,4,0,3,0.19,2,0,0,0,1,0,Matches,68c720b5
22,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,51,3.12,40,2,2,2,4,1,2,0.12,1,0,0,0,1,0,Matches,97333cf5
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,28d596a0
24,Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b391383a
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,23,2,14,0,1,5,3,0,3,0.26,2,0,0,1,0,0,Matches,d5dd5f1f
26,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,47,2.1,31,1,1,3,8,3,6,0.27,4,0,0,0,1,1,Matches,da052c14
27,Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,22,0.87,16,0,0,6,0,0,3,0.12,0,0,0,3,0,0,Matches,420d7c7d
28,César Azpilicueta,es ESP,DF,Chelsea,31,1989,23,44,1.91,41,0,2,1,0,0,8,0.35,6,0,1,1,0,0,Matches,53cad200
29,Daniel Bachmann,at AUT,GK,Watford,27,1994,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1c0eea98
30,Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,21,2.48,15,1,2,1,2,0,3,0.35,2,0,1,0,0,0,Matches,3a233281
31,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,1,0.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a1232f4e
32,Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,31822f8c
33,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,12,1.93,9,0,1,0,1,1,3,0.48,2,0,1,0,0,0,Matches,93feac6e
34,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,17,1.68,13,0,1,1,0,2,2,0.2,1,0,0,0,0,1,Matches,2886c9b5
35,Ross Barkley,eng ENG,MF,Chelsea,27,1993,2,18,9.05,12,3,2,0,1,0,3,1.51,3,0,0,0,0,0,Matches,3a24769f
36,Ashley Barnes,eng ENG,FW,Burnley,31,1989,9,21,2.34,15,0,0,2,3,1,1,0.11,1,0,0,0,0,0,Matches,2691c772
37,Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,57,2.44,45,0,8,2,2,0,13,0.56,11,0,0,2,0,0,Matches,3ea50f67
38,Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,2,1.23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,cd4256d3
39,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,9,0.97,4,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,30db8574
40,Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,19,0.65,16,2,0,0,0,1,0,0,0,0,0,0,0,0,Matches,4115ce4e
41,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,5,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,50dc94ce
42,Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,5,0.93,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,50dc94ce
43,Asmir Begović,ba BIH,GK,Everton,34,1987,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7b4de647
44,Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,69,2.86,53,0,6,5,4,1,8,0.33,7,0,0,1,0,0,Matches,5a04fd92
45,Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,35,2.31,33,0,0,2,0,0,7,0.46,6,0,0,1,0,0,Matches,3b8674e6
46,Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,20,1.57,17,0,1,1,1,0,1,0.08,1,0,0,0,0,0,Matches,ab070c55
47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,19,1.55,14,0,1,1,2,1,2,0.16,2,0,0,0,0,0,Matches,f72293fc
48,Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,6.3,20,3.19,15,1,2,1,1,0,3,0.48,1,0,1,0,1,0,Matches,a29b1131
49,Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,2,0.53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1226327
50,Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,407db0d5
51,Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,24,1.02,16,0,4,1,2,1,4,0.17,3,0,0,0,1,0,Matches,6c203af0
52,Willy Boly,ci CIV,DF,Wolves,30,1991,10,2,0.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches,a4ac4b8f
53,Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,95,2.87,53,19,8,8,4,3,21,0.63,10,4,3,1,3,0,Matches,79c84d1c
54,Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c1949191
55,Armando Broja,al ALB,FW,Southampton,19,2001,21.9,37,1.69,17,0,6,5,5,4,3,0.14,0,0,1,0,2,0,Matches,97220da2
56,Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,66,2.01,41,19,2,1,1,2,4,0.12,1,2,1,0,0,0,Matches,47369df8
57,Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a2081c6b
58,Bryan,es ESP,FWMF,Tottenham,20,2001,1,5,4.79,4,0,0,1,0,0,1,0.96,1,0,0,0,0,0,Matches,7b5ab7f2
59,Emi Buendía,ar ARG,FWMF,Aston Villa,24,1996,21.1,74,3.51,61,3,3,2,5,0,10,0.47,7,0,2,1,0,0,Matches,66b76d44
60,Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16,4,0.25,3,1,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,b2d31e83
61,Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,5,0.44,4,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,b2d31e83
62,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,cc70a1d5
63,Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,11,0.96,8,0,1,1,0,1,2,0.18,1,0,0,0,0,1,Matches,1bf811d4
64,Willy Caballero,ar ARG,GK,Southampton,39,1981,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a179d516
